rho [kg/m3], e [J/kg], P [Pa] 
74.08634, 306913.23541, 935868.18819 
73.77558, 306860.08064, 933944.33433 
73.46605, 306806.79907, 932020.48048 
73.15775, 306753.39019, 930096.62663 
72.85066, 306699.85354, 928172.77277 
72.54477, 306646.18862, 926248.91892 
72.24010, 306592.39493, 924325.06507 
71.93662, 306538.47197, 922401.21121 
71.63433, 306484.41926, 920477.35736 
71.33322, 306430.23629, 918553.50350 
71.03330, 306375.92255, 916629.64965 
70.73454, 306321.47754, 914705.79580 
70.43696, 306266.90074, 912781.94194 
70.14053, 306212.19163, 910858.08809 
69.84525, 306157.34971, 908934.23423 
69.55112, 306102.37445, 907010.38038 
69.25814, 306047.26533, 905086.52653 
68.96629, 305992.02181, 903162.67267 
68.67557, 305936.64337, 901238.81882 
68.38597, 305881.12947, 899314.96496 
68.09749, 305825.47957, 897391.11111 
67.81012, 305769.69314, 895467.25726 
67.52386, 305713.76963, 893543.40340 
67.23870, 305657.70849, 891619.54955 
66.95463, 305601.50916, 889695.69570 
66.67165, 305545.17110, 887771.84184 
66.38976, 305488.69375, 885847.98799 
66.10894, 305432.07654, 883924.13413 
65.82920, 305375.31890, 882000.28028 
65.55052, 305318.42028, 880076.42643 
65.27290, 305261.38008, 878152.57257 
64.99634, 305204.19774, 876228.71872 
64.72083, 305146.87268, 874304.86486 
64.44637, 305089.40431, 872381.01101 
64.17294, 305031.79204, 870457.15716 
63.90055, 304974.03529, 868533.30330 
63.62919, 304916.13344, 866609.44945 
63.35885, 304858.08592, 864685.59560 
63.08953, 304799.89210, 862761.74174 
62.82123, 304741.55138, 860837.88789 
62.55393, 304683.06316, 858914.03403 
62.28764, 304624.42681, 856990.18018 
62.02234, 304565.64171, 855066.32633 
61.75804, 304506.70724, 853142.47247 
61.49472, 304447.62278, 851218.61862 
61.23239, 304388.38768, 849294.76476 
60.97104, 304329.00131, 847370.91091 
60.71066, 304269.46303, 845447.05706 
60.45125, 304209.77220, 843523.20320 
60.19281, 304149.92816, 841599.34935 
59.93532, 304089.93026, 839675.49550 
59.67879, 304029.77785, 837751.64164 
59.42321, 303969.47025, 835827.78779 
59.16857, 303909.00680, 833903.93393 
58.91487, 303848.38683, 831980.08008 
58.66211, 303787.60965, 830056.22623 
58.41027, 303726.67460, 828132.37237 
58.15937, 303665.58098, 826208.51852 
57.90939, 303604.32811, 824284.66466 
57.66032, 303542.91528, 822360.81081 
57.41216, 303481.34179, 820436.95696 
57.16492, 303419.60694, 818513.10310 
56.91858, 303357.71003, 816589.24925 
56.67314, 303295.65032, 814665.39540 
56.42859, 303233.42711, 812741.54154 
56.18493, 303171.03967, 810817.68769 
55.94216, 303108.48727, 808893.83383 
55.70027, 303045.76916, 806969.97998 
55.45926, 302982.88462, 805046.12613 
55.21912, 302919.83289, 803122.27227 
54.97986, 302856.61323, 801198.41842 
54.74145, 302793.22487, 799274.56456 
