rho [kg/m3], e [J/kg], P [Pa] 
20.97227, 340601.01530, 440288.88889 
20.90503, 340533.59313, 439014.81481 
20.83785, 340465.98269, 437740.74074 
20.77071, 340398.18289, 436466.66667 
20.70363, 340330.19262, 435192.59259 
20.63659, 340262.01077, 433918.51852 
20.56960, 340193.63621, 432644.44444 
20.50267, 340125.06781, 431370.37037 
20.43578, 340056.30442, 430096.29630 
20.36894, 339987.34489, 428822.22222 
20.30215, 339918.18805, 427548.14815 
20.23541, 339848.83272, 426274.07407 
20.16871, 339779.27772, 425000.00000 
20.10207, 339709.52186, 423725.92593 
20.03547, 339639.56393, 422451.85185 
19.96893, 339569.40271, 421177.77778 
19.90243, 339499.03696, 419903.70370 
19.83598, 339428.46546, 418629.62963 
19.76957, 339357.68695, 417355.55556 
